id_obat,nama_obat,nama_obat_internasional,kelas_terapi,sub_kelas_terapi,sub_sub_kelas_terapi,sub_sub_sub_kelas_terapi,sediaan,kekuatan,satuan,fpktp,fpktl,pp,prb,oen,program,kanker,komposisi,restriksi_kelas_terapi,restriksi_sub_kelas_terapi,restriksi_sub_sub_kelas_terapi,restriksi_sub_sub_sub_kelas_terapi,restriksi_obat,restriksi_sediaan,peresepan_maksimal
7,abakavir,abacavir,ANTIINFEKSI,ANTIVIRUS,Antiretroviral,Nucleoside Reverse Transcriptase Inhibitor (NRTI),TABLET,300,MILIGRAM,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,,,,,Catatan: Disediakan oleh Program Kemenkes,,,
23,adenosin,adenosine,OBAT KARDIOVASKULAR,ANTIARITMIA,,,INJEKSI,3,MILIGRAM / MILILITER,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,"a) Digunakan untuk mengatasi SVT (dibuktikan dengan EKG).
b) Digunakan untuk uji pembebanan jantung.",,Maks 5 ampul.
30,afatinib,afatinib,ANTINEOPLASTIK dan IMUNOMODULATOR,ANTINEOPLASTIK,Penghambat Protein Kinase,,TABLET SALUT SELAPUT,20,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,,,,,,"a) Untuk NSCLC jenis non squamous yang locally advanced atau metastatik dengan EGFR exon 19 delesi atau mutasi subsitusi exon 21 (L858R atau L861Q), substitusi exon 18 (G719X), atau substitusi mutasi exon 20 (S7681), pada pasien yang belum pernah mendapatkan TKI sebelumnya.
b) Dosis terapi adalah 40 mg, diberikan 1x1 sehari.
c) Tidak digunakan sebagai lini kedua.
d) Jika terjadi progresi pada salah satu (gefitinib, erlotinib, atau afatinib), maka tidak dapat diganti dengan obat-obat tersebut.",Dosis 20 mg bukan dosis terapeutik tetapi digunakan apabila muncul efek samping. Dosis dikembalikan ke 40 mg untuk mendapat efikasi yang diharapkan.,"Obat dihentikan jika respons terhadap obat kurang dari 50%, setelah 3 siklus."
30,afatinib,afatinib,ANTINEOPLASTIK dan IMUNOMODULATOR,ANTINEOPLASTIK,Penghambat Protein Kinase,,TABLET SALUT SELAPUT,30,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,,,,,,"a) Untuk NSCLC jenis non squamous yang locally advanced atau metastatik dengan EGFR exon 19 delesi atau mutasi subsitusi exon 21 (L858R atau L861Q), substitusi exon 18 (G719X), atau substitusi mutasi exon 20 (S7681), pada pasien yang belum pernah mendapatkan TKI sebelumnya.
b) Dosis terapi adalah 40 mg, diberikan 1x1 sehari.
c) Tidak digunakan sebagai lini kedua.
d) Jika terjadi progresi pada salah satu (gefitinib, erlotinib, atau afatinib), maka tidak dapat diganti dengan obat-obat tersebut.",Dosis 30 mg bukan dosis terapeutik tetapi digunakan apabila muncul efek samping. Dosis dikembalikan ke 40 mg untuk mendapat efikasi yang diharapkan.,"Obat dihentikan jika respons terhadap obat kurang dari 50%, setelah 3 siklus."
30,afatinib,afatinib,ANTINEOPLASTIK dan IMUNOMODULATOR,ANTINEOPLASTIK,Penghambat Protein Kinase,,TABLET SALUT SELAPUT,40,MILIGRAM,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,,,,,,"a) Untuk NSCLC jenis non squamous yang locally advanced atau metastatik dengan EGFR exon 19 delesi atau mutasi subsitusi exon 21 (L858R atau L861Q), substitusi exon 18 (G719X), atau substitusi mutasi exon 20 (S7681), pada pasien yang belum pernah mendapatkan TKI sebelumnya.
b) Dosis terapi adalah 40 mg, diberikan 1x1 sehari.
c) Tidak digunakan sebagai lini kedua.
d) Jika terjadi progresi pada salah satu (gefitinib, erlotinib, atau afatinib), maka tidak dapat diganti dengan obat-obat tersebut.",,"- 30 tab/bulan.
- Obat dihentikan jika respons terhadap obat kurang dari 50%, setelah 3 siklus."
4870,air steril untuk injeksi,sterile water for injection,"LARUTAN ELEKTROLIT, NUTRISI, dan LAIN - LAIN",LAIN - LAIN,,,CAIRAN INJEKSI,,N/A,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,,,,,,,,
39,air untuk irigasi,water for irigation,"LARUTAN ELEKTROLIT, NUTRISI, dan LAIN - LAIN",LAIN - LAIN,,,INFUS,,N/A,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,
45,akarbose,acarbose,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Oral,,TABLET,100,MILIGRAM,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,,,,,90 tab/bulan.
45,akarbose,acarbose,"HORMON, OBAT ENDOKRIN LAIN dan KONTRASEPSI",ANTIDIABETES,Antidiabetes Oral,,TABLET,50,MILIGRAM,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,,,,,,,,90 tab/bulan.
53,akuades,aquadest,OBAT dan BAHAN untuk GIGI,PREPARAT LAINNYA,,,CAIRAN,500,MILILITER,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,,,,,,,,
