no,nama,restriksi,pereSepanMaksimal,smf
1,ALLOPURINOL 100MG*,Tidak diberikan pada saat nyeri akut,30 TAB/BULAN,"""P. DALAM"
,ALLOPURINOL 300MG,,60 TAB/BULAN,
2,FEBUKSOSTAT 40MG,"Untuk artritis gout dengan alergi alopurinol, diresepkan Sp.PD",60 TAB/BULAN,P. DALAM
3,AMITRIPTILIN 25MG,-,30 TAB/BULAN,"""P. DALAM"
4,GABAPENTIN 100MG,Hanya untuk neuralgia pascaherpes atau nyeri neuropati diabetik.,90 CAP/ BULAN,"""P. DALAM"
,GABAPENTIN 300MG,,,
5,CARBAMAZEPIN 200MG*,Hanya untuk neuralgia trigeminal.,120 TAB/BULAN,SYARAF
6,PREGABALIN 75MG,Hanya untuk neuralgia pascaherpes atau nyeri neuropati diabetik.,120 cap/ bulan,"""P. DALAM"
7,LORATADIN 10MG,URTIKARIA KRONIK,30 TAB/BULAN,
8,CETIRIZIN 10MG,URTIKARIA KRONIK,30 TAB/BULAN,
9,PHENYTOIN 100MG*,ANTI EPILEPSI,120 cap/ bulan,
10,PHENOBARBITAL 30MG*,ANTI EPILEPSI,120 TAB/ BULAN,
11,LEVETIRACETAM 500MG,Sebagai terapi tambahan pada pasien epilepsi onset parsial.,90 TAB/BULAN,
12,TOPIRAMAT 25MG,"Hanya untuk adjunctive terapi pada epilepsi parsial refraktur, bukan untuk monoterapi.",90 TAB/BULAN,SYARAF
13,VALPROAT ER 250*,Dapat digunakan untuk epilepsi umum (general epilepsy).,120 TAB/BULAN,
,VALPROAT ER 500*,,60 TAB/BULAN,
,VALPROAT BUKAN ER 250*,,90 TAB/BULAN,
14,LEVOPAR TABLET,Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu neurologi.,120 TAB/ BULAN,SYARAF
,LEPARSON DISPERS TAB,,,
15,STALEVO,Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu neurologi.,90 TAB/BULAN,SYARAF
16,"PRAMIFROL 0,375MG",Hanya dpt diresepkan oleh Neurologi,30 TAB/BULAN,SYARAF
17,REQUIB 2MG,Hanya dpt diresepkan oleh Neurologi,30 TAB/BULAN,SYARAF
18,TRIHEXYPENIDIL 2MG*,TERAPI JIWA DAN SYARAF,90 TAB/BULAN,"""SYARAF"
19,ASAM FOLAT 1MG,-,90 TAB/BULAN,ALL POLI
20,AZATHIOPRIN 50MG (IMURAN),IMUNOSUPRESAN,90TAB/BULAN,"P.DALAM,IMUNOLOGI"
21,HIDROKSIKLOROKUIN 200mg,a) Untuk kasus SLE (Systemic Lupus Erythematosus). atau b) Untuk kasus RA (Rheumatoid Arthritis).,60 TAB/BULAN,P.DALAM
22,"METOTREKSAT 2,5MG",a) Untuk imunosupresi. ATAU b) Untuk pasien dengan luas psoriasis di atas 10%.,,
23,VITAMIN B12,-,30 TAB/BULAN,ALL POLI
24,WARFARIN 2MG,"""Untuk pencegahan dan/atau terapinthromboembolism, Dosis harian tergantung target INR (2-3)",Pada pasien dalam kondisi stabil,
"(tidak ada perdarahan), dengan tercapainya target INR (2-3), diperlukan evaluasi INR rutin maksimal setiap 3 bulan.  """,90 TAB/BULAN,JANTUNG,,
25,FUROSEMID 40MG,-,120 TAB/BULAN,"""P. DALAM"
26,HCT 25MG,-,30 TAB/BULAN,"""P. DALAM"
27,SPIRONOLACTON 25MG*,-,30 TAB/BULAN,JANTUNG
,SPIRONOLACTON 100MG,-,,
28,DUTASTERID,-,30 TAB/BULAN,UROLOGI
29,"MINIRIN 0,1MG",-,30 TAB/BULAN,UROLOGI
30,"HARNAL 0,2",-,30 TAB/BULAN,UROLOGI
31,"TAMSULOSIN 0,4",-,30 TAB/BULAN,UROLOGI
32,ACARBOSE 50 MG DAN 100MG*,-,90 TAB/BULAN,P.DALAM
33,GLIBENCLAMID 5MG*,-,90 TAB/BULAN,P.DALAM
34,GLICLAZID MR 60MG*,-,30 TAB/BULAN,P.DALAM
35,GLICLAZID 80MG*,-,60 TAB/BULAN,P.DALAM
36,GLIQUIDON 30MG*,-,90 TAB/BULAN,P.DALAM
37,"GLIMEPIRID 1MG, 2MG, 3MG*",-,60 TAB/BULAN,P.DALAM
38,GLIMEPIRID 4MG*,-,30 TAB/BULAN,P.DALAM
39,METFORMIN 500MG*,-,120 TAB/BULAN,P.DALAM
40,METFORMIN 850MG*,-,60 TAB/BULAN,P.DALAM
41,"PIOGLITAZON 15MG, 30MG",Tidak diberikan pada pasien dengan gagal jantung dan/atau riwayat keluarga bladder cancer,30 TAB/BULAN,P. DALAM
42,SITAGLIPTIN 100MG*,Bukan lini pertama dan obat tunggal b) terapi tambahan pada metformin dan/atau sulfonilurea dengan dosis optimal,30 TAB/BULAN,P. DALAM
43,VILDAGLIPTIN 50MG*,a) Tidak digunakan sebagai lini pertama/terapi inisial b) Sbg terapi tambahan pd metformin dgn dosis optimal toleransi c) Tdk sbg obat tunggal.,60 TAB/BULAN,P. DALAM
